exhibitor_name,domain,contact_number,mail,location,country,booth_no,desc,linkedin_url,city,profile_url,event_source,event_year,profile_checked
CERVANTES,tiktok.com,570245448,,"Paris Expo Porte de Versailles, 1 Place de la Porte de Versailles, 75015 Paris, France",France,,,,Paris,https://www.creations-savoir-faire.com/en/list-of-exhibitors/Exposant/CERVANTES,https://www.creations-savoir-faire.com/en/list-of-exhibitors/exhibitors,2026,yes
CHA' COUD,tiktok.com,570245448,,"Paris Expo Porte de Versailles, 1 Place de la Porte de Versailles, 75015 Paris, France",France,Hall 6 G026,,,Paris,https://www.creations-savoir-faire.com/en/list-of-exhibitors/Exposant/CHA-COUD-3,https://www.creations-savoir-faire.com/en/list-of-exhibitors/exhibitors,2026,yes
CHARLIE POMPON,tiktok.com,570245448,,"Paris Expo Porte de Versailles, 1 Place de la Porte de Versailles, 75015 Paris, France",France,,,,Paris,https://www.creations-savoir-faire.com/en/list-of-exhibitors/Exposant/CHARLIE-POMPON-2,https://www.creations-savoir-faire.com/en/list-of-exhibitors/exhibitors,2026,yes
CHARLOTTE JAUBERT,artesane.com,,,"Paris Expo Porte de Versailles, 1 Place de la Porte de Versailles, 75015 Paris, France",France,Hall 6 F045,,,Paris,https://www.creations-savoir-faire.com/en/list-of-exhibitors/Exposant/CHARLOTTE-JAUBERT-3,https://www.creations-savoir-faire.com/en/list-of-exhibitors/exhibitors,2026,yes
CHEZ JOSEPHINE,chezjosephine-tissus.fr,,,"Paris Expo Porte de Versailles, 1 Place de la Porte de Versailles, 75015 Paris, France",France,Hall 6 J039,,,Paris,https://www.creations-savoir-faire.com/en/list-of-exhibitors/Exposant/CHEZ-JOSEPHINE-3,https://www.creations-savoir-faire.com/en/list-of-exhibitors/exhibitors,2026,yes
Chezvera.com,tiktok.com,570245448,,"Paris Expo Porte de Versailles, 1 Place de la Porte de Versailles, 75015 Paris, France",France,Hall 6 B043,,,Paris,https://www.creations-savoir-faire.com/en/list-of-exhibitors/Exposant/Chezvera-com,https://www.creations-savoir-faire.com/en/list-of-exhibitors/exhibitors,2026,yes
Clématisse Pattern et My Dress Made,tiktok.com,570245448,,"Paris Expo Porte de Versailles, 1 Place de la Porte de Versailles, 75015 Paris, France",France,Hall 6 H042,,,Paris,https://www.creations-savoir-faire.com/en/list-of-exhibitors/Exposant/Clematisse-Pattern-et-My-Dress-Made,https://www.creations-savoir-faire.com/en/list-of-exhibitors/exhibitors,2026,yes
COM'1 IDEE,tiktok.com,570245448,,"Paris Expo Porte de Versailles, 1 Place de la Porte de Versailles, 75015 Paris, France",France,Hall 6 F026,,,Paris,https://www.creations-savoir-faire.com/en/list-of-exhibitors/Exposant/COM-1-IDEE-5,https://www.creations-savoir-faire.com/en/list-of-exhibitors/exhibitors,2026,yes
COMPTOIR DU CACAO,tiktok.com,570245448,,"Paris Expo Porte de Versailles, 1 Place de la Porte de Versailles, 75015 Paris, France",France,,,,Paris,https://www.creations-savoir-faire.com/en/list-of-exhibitors/Exposant/COMPTOIR-DU-CACAO-4,https://www.creations-savoir-faire.com/en/list-of-exhibitors/exhibitors,2026,yes
CONSUENDI BABY LOCK,,,,"Paris Expo Porte de Versailles, 1 Place de la Porte de Versailles, 75015 Paris, France",France,,,,Paris,https://www.creations-savoir-faire.com/en/list-of-exhibitors/Exposant/CONSUENDI-BABY-LOCK,https://www.creations-savoir-faire.com/en/list-of-exhibitors/exhibitors,2026,yes
COPYCOT IMNA PATCHWORK,tiktok.com,570245448,,"Paris Expo Porte de Versailles, 1 Place de la Porte de Versailles, 75015 Paris, France",France,Hall 6 L052,,,Paris,https://www.creations-savoir-faire.com/en/list-of-exhibitors/Exposant/COPYCOT-IMNA-PATCHWORK,https://www.creations-savoir-faire.com/en/list-of-exhibitors/exhibitors,2026,yes
