company_name,booth,description,email,mobile_primary,domain,full_address,city,linkedin_url
Intec Foams,339,"Intec Foams is an independent UK technical foam supplier and converter, delivering bespoke solutions across medical, packaging, filtration, construction, acoustic and industrial markets. Since 2004, its experienced team has combined specialist materials, precision conversion and responsive service to solve complex challenges and meet each customer’s unique application requirements with confidence.",,,https://intecfoams.co.uk,"168 Regent Street, NN16 8QH",Kettering,
INTER KAUCUK VE EVA LTD STI,326,"Inter Eva engages in manufacturing and supplying closed-cell foam structured materials such as EVA, EPDM, PE, NEOPRENE intended for shoe-making, stationery, promotional products, insulation, sports materials, and automotive, construction and health industries.",,,,"15 TEMMUZ MAH. BAHAR CAD. NO:69, 34212",GÜNEŞLİ,
Intercol Industrial Adhesives bv,1024,"Intercol, a leading Dutch adhesive manufacturer, specializes in environmentally friendly water-based and hot melt adhesives. Serving industries such as packaging, paper, automotive, and textiles, Intercol delivers innovative, high-performance bonding solutions tailored to customer needs, emphasizing sustainability and quality across diverse applications.",,,,"Marconistraat 7, 6716 AK",Ede,
Interep,630,"INTEREP is the european leading producer of cellular rubber for many different sectors: automotive, railway, construction, sport, defense and many others. Driven by innovation, we produce foam rubbers based on elastomers such as EPDM, NBR, CR, NR, SBR, EVM with a density ranging from 70 to 500 kg/m3 .",,,https://interep.fr,"463, Rue de I'ndustrie, 43110",AUREC sur LOIRE,
INTERFLEX FOAMS,600,"At INTERFLEX FOAMS: We Design, Produce, and Supply Foamed Rubbers Available in blocks - Sheets - Rolls, from 60 to 300 kg/m³ density. Core products include EPDM semi or closed cell, CR, NBR, SBR... The EPSO X series is the leading range for semi open cell EPDM in extruded rolls.",,,,"4 rue Galilée, 83260",La Crau,
ISOFOM SRL,332,"Isofom Srl is a European Leader in the extrusion of polyethylene and polyurethane foam. Always a step ahead regarding the environmental issue, Isofom Srl is offering a wide range of products for packaging and insulation solutions.",,,,"Via Vincenzo Molaroni, 9,, 61122",Borgo Santa Maria PU,
ISOLOTTEN IZOLASYON SAN. VE TIC.A.S.,411,ISOLOTTEN company-is a leading Turkish polymer processor and manufacturer of physically crosslinked polyolefin foams using a unique technology. Full range of modern and highly effective products for different decisions and wide range of densities and widths. Using of up-to-date technologies ensures high quality of products and friendly status to environment.,,,,"Halilbeyli Osb Mah. Sanayi Cad.11 Bağyurdu OSB Kemalpaşa / IZMIR, 35000",Izmir,
Jessup Mfg.,1224,"Jessup Manufacturing delivers custom adhesive coating and converting solutions, including transfer adhesives, double-sided tapes, foam tapes, and specialty adhesive products for demanding industrial applications. Our high-performance adhesive technologies provide reliable bonding, durability, and versatility across a wide range of substrates while meeting unique customer requirements.",,,https://jessupmfg.com,"2815 West Route 120, 60051",McHenry,
Jiangyin Bondtape New Material Corp,806,,,,,,,
Jiangyin Meiyuan Industries Corporation,1006,,,,https://meiyuan1988.en.made-in-china.com,,,
JSP,214,"JSP is a global specialist in bead foams delivering solutions for many sectors including automotive, HVAC, packaging, toys and sporting goods with ARPRO EPP and ARPLANK EPE. We develop innovative solutions to make products safer, lighter, more cost-effective, and sustainable with recycled products containing up to 90% PCR.",,,,"Innovation Centre, Fichtenstrasse 121, 40233",Düsseldorf,
Kaneka Belgium NV,327,"Kaneka is a global pioneer in particle foam technology, providing high-performance EPERAN™ & EPERAN™PP foam solutions for automotive, packaging, building, residential, and consumer markets, including materials with post-consumer recycled content. Kaneka demonstrates its commitment to sustainability with Green Planet™ Expanded Beads, a 100% bio-based, biodegradable foam solution free from microplastics.",,,https://kaneka.be,"Nijverheidsstraat 16, 2260",Westerlo,
Kanomax USA,841,"Kanomax USA leads the way with cutting-edge industrial flow testing instruments engineered from decades of fluid mechanics research. Our solutions are trusted across high-tech industries including automotive, aerospace, consumer electronics, and steel production where sophisticated airflow measurement is critical to optimizing designs, improving energy efficiency, and ensuring safe, repeatable operations.",,,https://kanomax-usa.com,"219 US Highway 206, 07821",Andover,
Keck Chimie,434,"Keck Chimie develops high-performance water-based adhesives and release agents for the foam industry. Our solutions support furniture, bedding, automotive seating and technical foam manufacturers with sustainable, low-VOC technologies delivering strong performance, process efficiency and consistent quality.",,,https://keck-chimie.fr,"3 Rue du Wittholz, 67340",Ingwiller,
Kemi Pine Rosins,711,"Pine Rosins is a Portuguese company based in Cantanhede that develops, produces, and markets natural resins, rosin derivatives, and biopolymers for various industries. Its focus is on high-performance, innovative, and sustainable solutions, with a strong connection to renewable raw materials.",,,https://pinerosins.com,"Zona Industrial de Cantanhede lote 122, 3060-197",Cantanhede,
KMT Waterjet Systems,424,"WATERJET CUTTING TECHOLOGY represents the most flexible cutting tool in the industry. With over 50 years of leadership experience, and its global sales and service network, KMT WATERJET finds the right system solution for your individual application. Let yourself get introduced to our system solutions and benefits on booth# 424!",,,https://kmtwaterjet.com,"Hohe Straße 4, 61231",Bad Nauheim,
Kopuzlar Eva Kauçuk Ürünleri,420,"Kopuzlar Eva Kaucuk (FOAMFLEKS) is one of the leading manufacturer of cross-linked foams such as ; XPE foam, IXPE foam, Eva foam and Rubber foam in Turkey.",,,,"İstanbul organize Deri Sanayi Bölgesi7. Yol G-2 Parsel Aydınlıköy -Tuzla, İstanbul, Türkiye, 34956",İSTANBUL,
KRAIBURG PuraSys GmbH & Co. KG,227,"KRAIBURG PuraSys is your contact for complex requirements in the field of PUR foaming. Besides creating high quality solutions for sound and vibration isolation in rail traffic, construction and industry we are specialised in the production of moulded parts made of PUR integral foam.",,,,"Porschestraße 1, 49356, 49356",Diepholz,
KUHN SOLUTIONS | ContourTrace,437,"KUHN SOLUTIONS offers ContourTrace, a complete contour extraction solution. Our system scans real objects to generate precise contours of the objects for supporting foam insert production and helping workshops and production areas to effectively implement 5S and lean manufacturing practices.",,,,"Schottenstr. 73, 78462",Konstanz,
KUN HUANG,126,"KUN HUANG is a professional foam development and manufacturer, we have lots different certificated, such as GRS, RCS, ISO 14067(Carbon footprint), ISO9001...etc, we have over 50 years development technique that we can help customer to make the unique and customized foam.",,,,"No.9, Ming Chuan Rd, Tongluo Township, 366",Miaoli County,
Kurtz GmbH & CO. KG,914,,,,https://kurtzersa.com,"Frankenstraße 2, 97892",Kreuzwertheim,
Lamebo srl,320,"Lamebo offers the best 100% Made in Italy band knives, smooth or toothed, for splitting, profile cutting, peeling and finishing of rubber, foam and any product or derivative, for every kind of machines of any brand. Need a band knife, but can’t find one? Let them custom-make it for you!",,,,"Viale Kennedy 50/D, 10040",Leini,
LAVMI PERLA S.R.L.,122,"Lavmi Perla SRL, based in Dârmănești, Romania, is an automotive supplier specializing in thermoforming, PU, EPP, and EPS injection, plus sealing gaskets and precision vehicle components. Serving OEMs and Tier suppliers, it delivers reliable manufacturing solutions. Together with LP Automotive Morocco, the group provides flexible, high-quality automotive production capabilities.",,,,"327, Principala St, 117360",Darmanesti,
